ParentLocationCode,ParentLocation,SpatialDimValueCode,Location,Period,FactValueNumeric,DateModified
AFR,Africa,NAM,Namibia,2019,3404,5/10/2023 0:00
AFR,Africa,RWA,Rwanda,2019,3545251,5/10/2023 0:00
WPR,Western Pacific,MYS,Malaysia,2019,3923,5/10/2023 0:00
AFR,Africa,ZWE,Zimbabwe,2019,304309,5/10/2023 0:00
WPR,Western Pacific,KHM,Cambodia,2019,31883,5/10/2023 0:00
SEAR,South-East Asia,IND,India,2019,338494,5/10/2023 0:00
AFR,Africa,SEN,Senegal,2019,339598,5/10/2023 0:00
EMR,Eastern Mediterranean,SOM,Somalia,2019,38112,5/10/2023 0:00
AMR,Americas,COL,Colombia,2019,39891,5/10/2023 0:00
EMR,Eastern Mediterranean,SDN,Sudan,2019,4297167,5/10/2023 0:00
AMR,Americas,PER,Peru,2019,4724,5/10/2023 0:00
WPR,Western Pacific,PHL,Philippines,2019,4845,5/10/2023 0:00
AFR,Africa,CPV,Cabo Verde,2019,40,5/10/2023 0:00
AMR,Americas,HND,Honduras,2019,45,5/10/2023 0:00
EMR,Eastern Mediterranean,DJI,Djibouti,2019,47691,5/10/2023 0:00
AFR,Africa,KEN,Kenya,2019,5004487,5/10/2023 0:00
AFR,Africa,MWI,Malawi,2019,5089716,5/10/2023 0:00
AFR,Africa,CIV,Cote d'Ivoire,2019,5200350,5/10/2023 0:00
AFR,Africa,AGO,Angola,2019,5575259,5/10/2023 0:00
AFR,Africa,GMB,Gambia,2019,53385,5/10/2023 0:00
SEAR,South-East Asia,THA,Thailand,2019,536,5/10/2023 0:00
WPR,Western Pacific,VUT,Vanuatu,2019,571,5/10/2023 0:00
AFR,Africa,SWZ,Eswatini,2019,580,5/10/2023 0:00
AFR,Africa,GHA,Ghana,2019,6164160,5/10/2023 0:00
AFR,Africa,TZA,United Republic of Tanzania,2019,6385075,5/10/2023 0:00
WPR,Western Pacific,LAO,Lao People's Democratic Republic,2019,6550,5/10/2023 0:00
SEAR,South-East Asia,NPL,Nepal,2019,63,5/10/2023 0:00
AFR,Africa,ERI,Eritrea,2019,65697,5/10/2023 0:00
AMR,Americas,DOM,Dominican Republic,2019,7,5/10/2023 0:00
AMR,Americas,GUY,Guyana,2019,7052,5/10/2023 0:00
AFR,Africa,LBR,Liberia,2019,732322,5/10/2023 0:00
AMR,Americas,BRA,Brazil,2019,74360,5/10/2023 0:00
WPR,Western Pacific,PNG,Papua New Guinea,2019,788796,5/10/2023 0:00
AFR,Africa,BDI,Burundi,2019,8444710,5/10/2023 0:00
AMR,Americas,PRY,Paraguay,2019,80,5/10/2023 0:00
WPR,Western Pacific,SLB,Solomon Islands,2019,83364,5/10/2023 0:00
AFR,Africa,ETH,Ethiopia,2019,836293,5/10/2023 0:00
SEAR,South-East Asia,TLS,Timor-Leste,2019,9,5/10/2023 0:00
AMR,Americas,BOL,Bolivia (Plurinational State of),2019,9357,5/10/2023 0:00
AFR,Africa,UGA,Uganda,2019,9728920,5/10/2023 0:00
AMR,Americas,VEN,Venezuela (Bolivarian Republic of),2019,90153,5/10/2023 0:00
EMR,Eastern Mediterranean,PAK,Pakistan,2019,90178,5/10/2023 0:00
